accession,amplicon_PCR_primer_scheme,collected_by,geo_loc_name,collection_date,ww_population,ww_surv_target_1_conc,geo_loc_country,geo_loc_region,site_id
SRR27456810,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-29,35812.0,3259000.0,USA,Washington,USA_WA_3f60ae72
SRR27456805,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-29,73000.0,12460000.0,USA,Washington,USA_WA_ba77002c
SRR27456807,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-29,295855.0,26810000.0,USA,Washington,USA_WA_2b3d5330
SRR27456825,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-29,24180.0,19990000.0,USA,Washington,USA_WA_dc140915
SRR27456809,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-29,120000.0,17880000.0,USA,Washington,USA_WA_1f389f45
SRR27456801,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,5000.0,5123000.0,USA,Washington,USA_WA_89c461a5
SRR27464232,artic-v5.3.2_400,,USA: California,2023-12-28,750000.0,180341.9995185521,USA,California,USA_CA_c9a26767
SRR27464195,artic-v5.3.2_400,,USA: Kansas,2023-12-28,90000.0,307822.1286241486,USA,Kansas,USA_KS_c427474e
SRR27456812,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,17000.0,14610000.0,USA,Washington,USA_WA_be2735c2
SRR27456814,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,37650.0,9925000.0,USA,Washington,USA_WA_f62619bf
SRR27464228,artic-v5.3.2_400,,USA: California,2023-12-28,1480000.0,543305.4689858377,USA,California,USA_CA_df940599
SRR27681535,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-28,1100.0,6.045,USA,Oregon,USA_OR_ebaaa4f2
SRR27464230,artic-v5.3.2_400,,USA: California,2023-12-28,250000.0,135450.29665970316,USA,California,USA_CA_16d5068f
SRR27471203,artic-v5.3.2_400,,USA: Arkansas,2023-12-28,19000.0,39208.03110033184,USA,Arkansas,USA_AR_01a15087
SRR27456811,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,16150.0,10270000.0,USA,Washington,USA_WA_9fe62ac7
SRR27471204,artic-v5.3.2_400,,USA: California,2023-12-28,16000.0,79637.23529339366,USA,California,USA_CA_61d49499
SRR27456802,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,117072.0,5031000.0,USA,Washington,USA_WA_52a98d82
SRR27464272,artic-v5.3.2_400,,USA: California,2023-12-28,60000.0,-1.0,USA,California,USA_CA_e0ff5b69
SRR27464231,artic-v5.3.2_400,,USA: California,2023-12-28,250000.0,135450.29665970316,USA,California,USA_CA_16d5068f
SRR27471207,artic-v5.3.2_400,,USA: California,2023-12-28,39000.0,151141.6924621418,USA,California,USA_CA_ace0c281
SRR27456821,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,35600.0,6369000.0,USA,Washington,USA_WA_ac4929c1
SRR27456808,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,2323.0,10500000.0,USA,Washington,USA_WA_7d1521d4
SRR27681527,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-28,14206.0,4.865,USA,Oregon,USA_OR_7342a172
SRR27681528,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-28,18775.0,4.276,USA,Oregon,USA_OR_52480c07
SRR27681531,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-28,58856.0,4.484,USA,Oregon,USA_OR_ad2cab25
SRR27471206,artic-v5.3.2_400,,USA: California,2023-12-28,59488.0,34250.264638069384,USA,California,USA_CA_896a8fe4
SRR27456813,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,20000.0,8102000.0,USA,Washington,USA_WA_1228d815
SRR27464223,artic-v5.3.2_400,,USA: Florida,2023-12-28,776150.0,46988.68124463459,USA,Florida,USA_FL_4ecac463
SRR27541054,,MO DHSS,USA: Missouri,2023-12-28,15000.0,-1.0,USA,Missouri,USA_MO_05ac7c85
SRR27541093,,MO DHSS,USA: Missouri,2023-12-28,10500.0,-1.0,USA,Missouri,USA_MO_a0a814c0
SRR27456831,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,33000.0,719000.0,USA,Washington,USA_WA_a559bfa2
SRR27456819,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,35550.0,19930000.0,USA,Washington,USA_WA_173f6678
SRR27456827,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,120000.0,5847000.0,USA,Washington,USA_WA_1f389f45
SRR27464229,artic-v5.3.2_400,,USA: California,2023-12-28,1480000.0,543305.4689858377,USA,California,USA_CA_df940599
SRR27541095,,MO DHSS,USA: Missouri,2023-12-28,450.0,-1.0,USA,Missouri,USA_MO_74834e3d
SRR27456829,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,21761.0,1388000.0,USA,Washington,USA_WA_05d36093
SRR27464189,artic-v5.3.2_400,,USA: Alaska,2023-12-28,220000.0,1614643.9498452016,USA,Alaska,USA_AK_a90507ee
SRR27456799,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,43300.0,5208000.0,USA,Washington,USA_WA_ae83b994
SRR27456828,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-28,15000.0,15690000.0,USA,Washington,USA_WA_1c4febac
SRR27681529,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-28,13739.0,4.678,USA,Oregon,USA_OR_3c8ae45c
SRR27464192,artic-v5.3.2_400,,USA: New Jersey,2023-12-28,1500000.0,465806.105179636,USA,New Jersey,USA_NJ_9cb1a774
SRR27464190,artic-v5.3.2_400,,USA: Illinois,2023-12-28,86000.0,797091.1149894318,USA,Illinois,USA_IL_5ba02380
SRR27471208,artic-v5.3.2_400,,USA: California,2023-12-28,75000.0,212404.5140343892,USA,California,USA_CA_7c7119c0
SRR27471247,artic-v5.3.2_400,,USA: Maine,2023-12-28,3000.0,362872.22786365007,USA,Maine,USA_ME_7e000019
SRR27464233,artic-v5.3.2_400,,USA: California,2023-12-28,750000.0,180341.9995185521,USA,California,USA_CA_c9a26767
SRR27681536,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-27,3749.0,4.046,USA,Oregon,USA_OR_c3633ca9
SRR27464193,artic-v5.3.2_400,,USA: New Jersey,2023-12-27,1500000.0,515454.9130104471,USA,New Jersey,USA_NJ_9cb1a774
SRR27471230,artic-v5.3.2_400,,USA: Pennsylvania,2023-12-27,13000.0,46517.54440012067,USA,Pennsylvania,USA_PA_f7aa3d6d
SRR27464305,artic-v5.3.2_400,,USA: Texas,2023-12-27,200000.0,194065.46588175348,USA,Texas,USA_TX_a591252d
SRR27541098,,MO DHSS,USA: Missouri,2023-12-27,8082.0,-1.0,USA,Missouri,USA_MO_8b1d2cd9
SRR27541164,,MO DHSS,USA: Missouri,2023-12-27,9100.0,-1.0,USA,Missouri,USA_MO_db537f4f
SRR27471265,artic-v5.3.2_400,,USA: Arkansas,2023-12-27,23812.0,31025.46151095023,USA,Arkansas,USA_AR_b5f4341f
SRR27471210,artic-v5.3.2_400,,USA: New Mexico,2023-12-27,87000.0,149855.18782503772,USA,New Mexico,USA_NM_b8b2c6dc
SRR27541068,,MO DHSS,USA: Missouri,2023-12-27,3300.0,-1.0,USA,Missouri,USA_MO_94b00153
SRR27541104,,MO DHSS,USA: Missouri,2023-12-27,11500.0,-1.0,USA,Missouri,USA_MO_fb94f38a
SRR27464196,artic-v5.3.2_400,,USA: Michigan,2023-12-27,125000.0,843699.656605042,USA,Michigan,USA_MI_10536916
SRR27464194,artic-v5.3.2_400,,USA: Kentucky,2023-12-27,423913.0,279298.55173435435,USA,Kentucky,USA_KY_f4bb6442
SRR27464234,artic-v5.3.2_400,,USA: California,2023-12-27,1500000.0,449786.8142041336,USA,California,USA_CA_16a553f8
SRR27541144,,MO DHSS,USA: Missouri,2023-12-27,3282.0,-1.0,USA,Missouri,USA_MO_7c835a3f
SRR27541106,,MO DHSS,USA: Missouri,2023-12-27,33540.0,-1.0,USA,Missouri,USA_MO_dc9853eb
SRR27541146,,MO DHSS,USA: Missouri,2023-12-27,490000.0,-1.0,USA,Missouri,USA_MO_6c596a04
SRR27681542,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-27,27748.0,4.503,USA,Oregon,USA_OR_bf908f3f
SRR27471205,artic-v5.3.2_400,,USA: Arkansas,2023-12-27,32043.0,43502.99824289593,USA,Arkansas,USA_AR_41013c2d
SRR27456820,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,225000.0,13100000.0,USA,Washington,USA_WA_68c3efae
SRR27674745,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-27,37725.0,4.421,USA,Oregon,USA_OR_eaa97b09
SRR27464290,artic-v5.3.2_400,,USA: Florida,2023-12-27,776150.0,61429.21221947604,USA,Florida,USA_FL_4ecac463
SRR27681537,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-27,8865.0,4.973,USA,Oregon,USA_OR_47f39507
SRR27471254,artic-v5.3.2_400,,USA: Arkansas,2023-12-27,18463.0,48445.07524705883,USA,Arkansas,USA_AR_87bca565
SRR27464188,artic-v5.3.2_400,,USA: Pennsylvania,2023-12-27,220000.0,115596.28986944538,USA,Pennsylvania,USA_PA_11e5c69b
SRR27464182,artic-v5.3.2_400,,USA: Maryland,2023-12-27,90000.0,350549.14674447064,USA,Maryland,USA_MD_4ba3d1f0
SRR27456824,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,8475.0,10270000.0,USA,Washington,USA_WA_9a9c5061
SRR27464303,artic-v5.3.2_400,,USA: Massachusetts,2023-12-27,2400000.0,271583.3792228164,USA,Massachusetts,USA_MA_a197954e
SRR27681530,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-27,7800.0,4.422,USA,Oregon,USA_OR_6924893d
SRR27471209,artic-v5.3.2_400,,USA: Maryland,2023-12-27,3000.0,193575.5605333333,USA,Maryland,USA_MD_d7d77c46
SRR27464185,artic-v5.3.2_400,,USA: Texas,2023-12-27,120000.0,49931.9990622774,USA,Texas,USA_TX_8d09e47f
SRR27541140,,MO DHSS,USA: Missouri,2023-12-27,12000.0,-1.0,USA,Missouri,USA_MO_857ba4a7
SRR27456823,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,10000.0,5365000.0,USA,Washington,USA_WA_0c265240
SRR27464186,artic-v5.3.2_400,,USA: Hawaii,2023-12-27,390000.0,181365.3372963137,USA,Hawaii,USA_HI_aad4511e
SRR27471241,artic-v5.3.2_400,,USA: Wyoming,2023-12-27,18000.0,111119.7371226546,USA,Wyoming,USA_WY_18eb1951
SRR27464289,artic-v5.3.2_400,,USA: Minnesota,2023-12-27,120000.0,414680.5785594946,USA,Minnesota,USA_MN_c3e866fa
SRR27541150,,MO DHSS,USA: Missouri,2023-12-27,41153.0,-1.0,USA,Missouri,USA_MO_9de3d8e0
SRR27456803,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,35550.0,8815000.0,USA,Washington,USA_WA_173f6678
SRR27456800,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,81140.0,19130000.0,USA,Washington,USA_WA_481f98ea
SRR27456804,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,119790.0,6202000.0,USA,Washington,USA_WA_1c354b9b
SRR27456815,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,295855.0,9647000.0,USA,Washington,USA_WA_2b3d5330
SRR27456817,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,896000.0,8155000.0,USA,Washington,USA_WA_145eb593
SRR27456822,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,73000.0,12100000.0,USA,Washington,USA_WA_ba77002c
SRR27471261,artic-v5.3.2_400,,USA: Arkansas,2023-12-27,30377.0,114875.55732536952,USA,Arkansas,USA_AR_8ebd8fc0
SRR27464159,artic-v5.3.2_400,,USA: Kansas,2023-12-27,90000.0,222669.10720119136,USA,Kansas,USA_KS_c427474e
SRR27471253,artic-v5.3.2_400,,USA: Kansas,2023-12-27,40000.0,195375.76438491707,USA,Kansas,USA_KS_a36f9f9c
SRR27541143,,MO DHSS,USA: Missouri,2023-12-27,9000.0,-1.0,USA,Missouri,USA_MO_c3faf80f
SRR27456830,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,162100.0,15890000.0,USA,Washington,USA_WA_d4decee9
SRR27464304,artic-v5.3.2_400,,USA: Ohio,2023-12-27,174000.0,309619.93513725494,USA,Ohio,USA_OH_20d6ac17
SRR27464299,artic-v5.3.2_400,,USA: Alaska,2023-12-27,220000.0,1094395.2078707877,USA,Alaska,USA_AK_a90507ee
SRR27471258,artic-v5.3.2_400,,USA: Massachusetts,2023-12-27,55000.0,169862.62214660633,USA,Massachusetts,USA_MA_3c6001ee
SRR27471257,artic-v5.3.2_400,,USA: Arkansas,2023-12-27,19000.0,54384.882536832585,USA,Arkansas,USA_AR_01a15087
SRR27471248,artic-v5.3.2_400,,USA: Maine,2023-12-27,16000.0,109024.50446552035,USA,Maine,USA_ME_62c484bb
SRR27464235,artic-v5.3.2_400,,USA: California,2023-12-27,1500000.0,449786.8142041336,USA,California,USA_CA_16a553f8
SRR27541052,,MO DHSS,USA: Missouri,2023-12-27,8000.0,-1.0,USA,Missouri,USA_MO_7780ff23
SRR27471250,artic-v5.3.2_400,,USA: North Carolina,2023-12-27,20484.0,37373.14273134239,USA,North Carolina,USA_NC_0927f23d
SRR27471259,artic-v5.3.2_400,,USA: Pennsylvania,2023-12-27,45000.0,463197.38973635,USA,Pennsylvania,USA_PA_a73bcbc9
SRR27464181,artic-v5.3.2_400,,USA: Nebraska,2023-12-27,240000.0,368981.71358169935,USA,Nebraska,USA_NE_f37dc082
SRR27456816,QIAseq Direct SARS-CoV-2 primer panel,Washington State Department of Health,USA: Washington,2023-12-27,288000.0,14370000.0,USA,Washington,USA_WA_759b6ebb
SRR27464184,artic-v5.3.2_400,,USA: Maine,2023-12-27,65000.0,829297.5246909432,USA,Maine,USA_ME_ec383c0d
SRR27541111,,MO DHSS,USA: Missouri,2023-12-27,34403.0,-1.0,USA,Missouri,USA_MO_4484cd7a
SRR27471249,artic-v5.3.2_400,,USA: Texas,2023-12-27,529541.0,89902.87631179488,USA,Texas,USA_TX_978f46a4
SRR27464227,artic-v5.3.2_400,,USA: California,2023-12-27,60000.0,-1.0,USA,California,USA_CA_e0ff5b69
SRR27471263,artic-v5.3.2_400,,USA: Pennsylvania,2023-12-27,13000.0,1274060.710346908,USA,Pennsylvania,USA_PA_f7aa3d6d
SRR27464238,artic-v5.3.2_400,,USA: California,2023-12-27,130000.0,-1.0,USA,California,USA_CA_1e702cb4
SRR27471251,artic-v5.3.2_400,,USA: Kansas,2023-12-27,95000.0,102755.82246467572,USA,Kansas,USA_KS_a286ac9e
SRR27464296,artic-v5.3.2_400,,USA: Nevada,2023-12-27,990000.0,268454.7302331551,USA,Nevada,USA_NV_dcb390dc
SRR27464288,artic-v5.3.2_400,,USA: Alabama,2023-12-27,225000.0,304083.053905612,USA,Alabama,USA_AL_7367afd4
SRR27464187,artic-v5.3.2_400,,USA: District of Columbia,2023-12-27,2000000.0,705788.1461296856,USA,District of Columbia,USA_DC_a644bd06
SRR27464158,artic-v5.3.2_400,,USA: Idaho,2023-12-27,186901.0,157418.62200550688,USA,Idaho,USA_ID_6f2baa42
SRR27541159,,MO DHSS,USA: Missouri,2023-12-26,451367.0,-1.0,USA,Missouri,USA_MO_915e5b09
SRR27391717,artic-v5.3.2_400,,USA: Arkansas,2023-12-26,14000.0,71550.3820348718,USA,Arkansas,USA_AR_496ed2dc
SRR27391718,artic-v5.3.2_400,,USA: California,2023-12-26,60000.0,498531.611103469,USA,California,USA_CA_e0ff5b69
SRR27391735,artic-v5.3.2_400,,USA: Maine,2023-12-26,3000.0,120183.35563825036,USA,Maine,USA_ME_7e000019
SRR27391734,artic-v5.3.2_400,,USA: California,2023-12-26,250000.0,76100.51852959278,USA,California,USA_CA_16d5068f
SRR27391720,artic-v5.3.2_400,,USA: California,2023-12-26,16000.0,174103.33022021118,USA,California,USA_CA_61d49499
SRR27391731,artic-v5.3.2_400,,USA: Massachusetts,2023-12-26,228285.0,97742.6321165611,USA,Massachusetts,USA_MA_d21ce9c6
SRR27391722,artic-v5.3.2_400,,USA: Maine,2023-12-26,8700.0,106164.69991577676,USA,Maine,USA_ME_452c7496
SRR27391733,artic-v5.3.2_400,,USA: Iowa,2023-12-26,110000.0,54398.5746031976,USA,Iowa,USA_IA_c4177142
SRR27471252,artic-v5.3.2_400,,USA: Texas,2023-12-26,539116.0,130581.31865339368,USA,Texas,USA_TX_82a5ca98
SRR27391727,artic-v5.3.2_400,,USA: Maine,2023-12-26,5000.0,46959.21545387633,USA,Maine,USA_ME_ef5c17db
SRR27391728,artic-v5.3.2_400,,USA: Alabama,2023-12-26,70000.0,208141.0081906486,USA,Alabama,USA_AL_edf099ff
SRR27391729,artic-v5.3.2_400,,USA: Maine,2023-12-26,20000.0,63496.82274003016,USA,Maine,USA_ME_4b27c3a4
SRR27674716,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,662235.0,4.001,USA,Oregon,USA_OR_b1869e53
SRR27541148,,MO DHSS,USA: Missouri,2023-12-26,15906.0,-1.0,USA,Missouri,USA_MO_e8f33fd0
SRR27681534,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,30000.0,4.608,USA,Oregon,USA_OR_3069618d
SRR27464183,artic-v5.3.2_400,,USA: Florida,2023-12-26,212065.0,232828.88474086413,USA,Florida,USA_FL_c9f417d3
SRR27541063,,MO DHSS,USA: Missouri,2023-12-26,76759.0,-1.0,USA,Missouri,USA_MO_d56c57a6
SRR27681540,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,229000.0,4.559,USA,Oregon,USA_OR_5e91e58e
SRR27681561,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,10840.0,4.225,USA,Oregon,USA_OR_42a6fb3d
SRR27674723,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,92850.0,4.921,USA,Oregon,USA_OR_22832f33
SRR27681564,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,26273.0,4.211,USA,Oregon,USA_OR_38d815bb
SRR27391730,artic-v5.3.2_400,,USA: Alaska,2023-12-26,22000.0,60801.90840084465,USA,Alaska,USA_AK_a3b9bdbf
SRR27471219,artic-v5.3.2_400,,USA: Maine,2023-12-26,8500.0,393899.7630479639,USA,Maine,USA_ME_33e6f31c
SRR27681568,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,10400.0,4.316,USA,Oregon,USA_OR_6c04230e
SRR27674746,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,45600.0,4.332,USA,Oregon,USA_OR_9ac4facc
SRR27541061,,MO DHSS,USA: Missouri,2023-12-26,12000.0,-1.0,USA,Missouri,USA_MO_857ba4a7
SRR27681563,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,Oregon State University/Oregon Health Authority,USA: Oregon,2023-12-26,16555.0,4.467,USA,Oregon,USA_OR_0b90be34
SRR27541056,,MO DHSS,USA: Missouri,2023-12-26,2100.0,-1.0,USA,Missouri,USA_MO_945560dd
SRR27464297,artic-v5.3.2_400,,USA: Indiana,2023-12-26,130000.0,604857.8586578295,USA,Indiana,USA_IN_6205135f
SRR27464179,artic-v5.3.2_400,,USA: California,2023-12-26,250000.0,182470.07483778967,USA,California,USA_CA_16d5068f
SRR27471266,artic-v5.3.2_400,,USA: Hawaii,2023-12-26,32604.0,55727.015360000005,USA,Hawaii,USA_HI_d1702ed9
SRR27464298,artic-v5.3.2_400,,USA: District of Columbia,2023-12-26,2000000.0,654088.4384680368,USA,District of Columbia,USA_DC_a644bd06
SRR27471256,artic-v5.3.2_400,,USA: New Hampshire,2023-12-26,6500.0,132060.29281447965,USA,New Hampshire,USA_NH_7ea8fa8c
SRR27541073,,MO DHSS,USA: Missouri,2023-12-26,24174.0,-1.0,USA,Missouri,USA_MO_45285a21
SRR27464295,artic-v5.3.2_400,,USA: Nebraska,2023-12-26,240000.0,735527.6199362092,USA,Nebraska,USA_NE_f37dc082
SRR27471264,artic-v5.3.2_400,,USA: California,2023-12-26,14465.0,238150.68360301657,USA,California,USA_CA_f96cc229
SRR27464237,artic-v5.3.2_400,,USA: California,2023-12-26,1480000.0,376803.01396377216,USA,California,USA_CA_df940599
SRR27464198,artic-v5.3.2_400,,USA: Hawaii,2023-12-26,390000.0,379108.4203353876,USA,Hawaii,USA_HI_aad4511e
SRR27541086,,MO DHSS,USA: Missouri,2023-12-26,149112.0,-1.0,USA,Missouri,USA_MO_33c54106
SRR27541059,,MO DHSS,USA: Missouri,2023-12-26,12855.0,-1.0,USA,Missouri,USA_MO_52815400
SRR27541077,,MO DHSS,USA: Missouri,2023-12-26,123180.0,-1.0,USA,Missouri,USA_MO_fd2ca587
SRR27541070,,MO DHSS,USA: Missouri,2023-12-26,151966.0,-1.0,USA,Missouri,USA_MO_7e59a478
SRR27541075,,MO DHSS,USA: Missouri,2023-12-26,66738.0,-1.0,USA,Missouri,USA_MO_c7d39291
SRR27541088,,MO DHSS,USA: Missouri,2023-12-26,43200.0,-1.0,USA,Missouri,USA_MO_d3b7e137
